Total numbered moves matched: 120

Header                                                  | FX Types                            | Visual Type         
===================================================================================================================
1. SLEEPING GAS (Gastly / Gengar / Drowzee — Hypnotic T | sleeping_gas                        | SVG (0)
2. EKANS / ARBOK BITE (GBA white star-fang impact)      | bite                                | SVG (0)
2b. EKANS/ARBOK BITE JAW (GBA-style upper/lower teeth s | bite_jaw                            | SVG (0)
3. ABRA PSYSHOCK                                        | psyshock_waves                      | SVG (2)
5. DRATINI WRAP / STRING SHOT COCOON                    | string_shot_cocoon                  | SVG (1)
6. TACKLE / NORMAL SLAM (GBA-style white impact flash w | tackle                              | SVG (2)
7. POISON STING (Weedle/Ekans - venomous needle stinger | poison_sting                        | SVG (4)
7c. TOXIC CORROSION (Nidoking Lv. 48 — Double-Poison Co | toxic_corrosion                     | SVG (2)
7c. POISON VAPOR - BENCH (the same gas, one beat later, | poison_vapor_bench                  | SVG (3)
8. POISON GAS / FOUL GAS (Koffing/Weezing — Volumetric  | poison_gas, foul_gas                | SVG (0)
10. PUNCH / KARATE CHOP (GBA-style fist lunge with impa | punch                               | SVG (3)
10b. HITMONCHAN JAB (red boxing glove — quick straight  | hitmonchan_jab                      | IMG: Hitmonchan_Jab.png
11. THUNDER WAVE / THUNDERSHOCK (lightning bolt strikin | thunder_wave                        | SVG (2)
11c. HEAVY THUNDER STRIKE (Raichu Lv. 40 — 60 DMG Celes | heavy_thunder_strike                | SVG (2)
11b. THUNDERPUNCH (Electabuzz - yellow fist with lightn | thunder_punch                       | IMG: ThunderPunch_Fist.png
12b. FLARE BURST (Growlithe — quick organic flash of fl | flare_burst                         | SVG (3)
12e. FIRE SPIN VORTEX (Charizard Lv. 76 — 100 DMG Infer | fire_spin_vortex                    | SVG (2)
14. BUBBLEBEAM (Gyarados 40 dmg — dense, fast, high-imp | bubblebeam                          | SVG (9)
14b. BUBBLE (Squirtle — original gentle rising iridesce | bubble_gentle                       | SVG (6)
15. ICE BEAM (GBA-style ice crystal formation with fros | ice_beam_frost                      | SVG (5)
15b. BLIZZARD STORM (Articuno - icy wind + snow particl | blizzard_storm                      | SVG (1)
