marquee                                  | Stops:  2 | Gap: 100% (0, 100)
gbaLeafSlice                             | Stops:  3 | Gap: 70% (30, 100)
gbaBiteStarFang                          | Stops:  4 | Gap: 40% (60, 100)
gbaGrainyFadeOut                         | Stops:  5 | HOLD: [(0, 40, 40, 'opacity: 0;')]
gbaHoloSheenSweep                        | Stops:  4 | Gap: 40% (60, 100)
gbaBubbleFloat                           | Stops:  4 | Gap: 40% (0, 40)
gbaStarSpinDown                          | Stops:  4 | Gap: 40% (35, 75)
gbaSilkWrapSpiral                        | Stops:  4 | Gap: 40% (0, 40)
gbaLifeSiphon                            | Stops:  3 | Gap: 60% (40, 100)
gbaBoulderCrash                          | Stops:  4 | Gap: 40% (0, 40)
gbaWaterBurst                            | Stops:  4 | Gap: 40% (35, 75)
gbaCoinRain                              | Stops:  4 | Gap: 40% (30, 70)
gbaLaserBeamPulse                        | Stops:  4 | Gap: 40% (30, 70)
gbaHypnoticWave                          | Stops:  3 | Gap: 50% (0, 50)
gbaDoubleSlapRightToLeft                 | Stops: 10 | HOLD: [(55, 100, 45, 'transform: translate(-36%, 10%) scale(0.70) rotate(-25deg); opacity: 0;')]
gbaDoubleSlapWindRightToLeft             | Stops:  5 | Gap: 66% (34, 100)
gbaDoubleSlapStar1                       | Stops:  5 | Gap: 56% (44, 100)
gbaDoubleSlapRing1                       | Stops:  4 | HOLD: [(46, 100, 54, 'transform: scale(1.85); opacity: 0;')]
gbaDoubleSlapCardShake                   | Stops: 12 | HOLD: [(37, 70, 33, 'transform: translate(0, 0);')]
gbaDoubleSlapSparkPop                    | Stops:  3 | Gap: 65% (35, 100)
gbaWaterSplashDrop                       | Stops:  3 | Gap: 70% (30, 100)
gbaPsychicRing                           | Stops:  3 | Gap: 70% (30, 100)
gbaClawSlash                             | Stops:  4 | Gap: 60% (25, 85)
gbaSludgeSplat                           | Stops:  4 | Gap: 40% (0, 40)
gbaSmogRoll                              | Stops:  4 | Gap: 45% (0, 45)
gbaCurseTighten                          | Stops:  4 | Gap: 45% (0, 45)
gbaAcidDrip                              | Stops:  4 | Gap: 45% (0, 45)
gbaLickSwipe                             | Stops:  4 | Gap: 40% (0, 40)
gbaSleepZzzFloat                         | Stops:  4 | Gap: 40% (0, 40)
gbaMusicalNoteWave                       | Stops:  4 | Gap: 40% (0, 40)
gbaStunGasCloud                          | Stops:  4 | Gap: 40% (0, 40)
gbaStenchLineWiggle                      | Stops:  4 | Gap: 40% (0, 40)
gbaStunSporeFall                         | Stops:  4 | Gap: 45% (0, 45)
gbaPsyshockRing1                         | Stops:  4 | Gap: 40% (35, 75)
gbaBiteSnapTop                           | Stops:  4 | Gap: 40% (60, 100)
