Total non-img FX: 170
Pokemon-specific SVG moves: 105

FX Name                        | Pokemon                   | SVGs  | Comment
==============================================================================================================
psyshock_waves                 | abra                      | 2     | 3. ABRA PSYSHOCK
doubleslap                     | poliwhirl                 | 1     | 
string_shot_cocoon             | dratini                   | 1     | 5. DRATINI WRAP / STRING SHOT COCOON
poison_sting                   | weedle, ekans             | 4     | 7. POISON STING (Weedle/Ekans - venomous needle stinger, GBA-style)
toxic_corrosion                | nidoking                  | 2     | 7c. TOXIC CORROSION (Nidoking Lv. 48 — Double-Poison Corrosive Venom G
poison_vapor                   | arbok                     | 4     | 7b. POISON VAPOR (Dark Arbok) - a venom mist that rolls off the Active
heavy_thunder_strike           | raichu                    | 2     | 11c. HEAVY THUNDER STRIKE (Raichu Lv. 40 — 60 DMG Celestial Thunder Bo
flamethrower_stream            | charmeleon, arcanine, mag | 3     | 12a0. FLAMETHROWER STREAM (Arcanine/Charmeleon/Magmar/Flareon Flamethr
ember_spark                    | charmander, ponyta        | 3     | 12a. EMBER SPARK (Charmander, Ponyta — rising flame with visible fire 
flare_burst                    | growlithe                 | 3     | 12b. FLARE BURST (Growlithe — quick organic flash of flame tongues, GB
flame_tail_whip                | charmander, ponyta        | 3     | 12c. FLAME TAIL WHIP (Ponyta Flame Tail / Charmander Fire Tail — arcin
fire_blast_star                | ninetales                 | 3     | 12d. FIRE BLAST STAR (Ninetales — GBA だいもんじ: the kanji 'fire' characte
fire_spin_vortex               | charizard                 | 1     | 12e. FIRE SPIN VORTEX (Charizard Lv. 76 — 100 DMG Infernal Firestorm C
fire_punch_blaze               | magmar                    | 3     | 12f. FIRE PUNCH BLAZE (Magmar Fire Punch — fire-wreathed fist lunge wi
flame_pillar                   | rapidash                  | 2     | 12g. FLAME PILLAR (Dark Rapidash — vertical fire column erupting from 
wildfire_scorch                | moltres                   | 4     | 12h. WILDFIRE SCORCH (Moltres — expanding legendary heat wave, no dire
fireball_barrage               | charmeleon, charizard     | 3     | 12i. FIREBALL BARRAGE (Dark Charizard Continuous Fireball / Dark Charm
playing_with_fire              | flareon                   | 2     | 12j. PLAYING WITH FIRE (Dark Flareon — mischievous flickering flames d
bubblebeam                     | gyarados                  | 6     | 14. BUBBLEBEAM (Gyarados 40 dmg — dense, fast, high-impact GBA bubble 
bubble_gentle                  | squirtle                  | 6     | 14b. BUBBLE (Squirtle — original gentle rising iridescent bubbles)
blizzard_storm                 | articuno                  | 1     | 15b. BLIZZARD STORM (Articuno - icy wind + snow particles wrapping aro
solar_beam_charge_blast        | venusaur                  | 2     | 16. SOLAR BEAM (Venusaur Lv. 67 — 60 DMG Planetary Solar Cannon)
psybeam_kaleidoscope           | abra, kadabra, alakazam   | 2     | 17. PSYBEAM KALEIDOSCOPE (Alakazam Lv. 42 / Kadabra — Mind-Bending Sac
vine_whip_lash                 | ivysaur                   | 5     | 18b. VINE WHIP LASH (Ivysaur - whip-crack vine arcs)
seismic_toss_machamp           | machamp                   | 2     | 19b. SEISMIC TOSS (Machamp Lv. 67 — 60 DMG 4-Armed Tectonic Upheaval)
